"Bottom Left","Bottom Left"
"Bottom Center","Bottom Center"
"Bottom Right","Bottom Right"
"The next lowest integer value","The next lowest integer value"
"By rules of mathematical rounding","By rules of mathematical rounding"
"The next highest integer value","The next highest integer value"
Edit,Edit
Information,Information
"Display Settings","Display Settings"
"Product Page Label Container","Product Page Label Container"
"DOM-selector for Container","DOM-selector for Container"
"Category Page Label Container","Category Page Label Container"
"Max Number of Labels on One Product","Max Number of Labels on One Product"
"Show Several Labels on the Same Place","Show Several Labels on the Same Place"
"Labels Alignment","Labels Alignment"
"Select how the labels should line up","Select how the labels should line up"
"Margin between labels, px","Margin between labels, px"
"Set the margin between labels in pixel","Set the margin between labels in pixel"
"`On Sale` Condition","`On Sale` Condition"
"Minimal discount amount","Minimal discount amount"
"Minimal discount percentage","Minimal discount percentage"
"Rounding of discount percentage","Rounding of discount percentage"
"`Is New` Condition","`Is New` Condition"
"Use `New from Date` and `New to Date`","Use `New from Date` and `New to Date`"
"Use `Creation Date`","Use `Creation Date`"
"It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes.","It will not be used if previous setting set to `Yes` and product have `New from Date` or `New to Date` attributes."
"Product is new threshold","Product is new threshold"
"In days","In days"
"Color Swatches Pro","Color Swatches Pro"
"Display label on simple product once configurable option is selected. See more details <a href=""https://amasty.com/color-swatches-pro-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=site_swatch_m2"">here</a>","Display label on simple product once configurable option is selected. See more details <a href=""https://amasty.com/color-swatches-pro-for-magento-2.html?utm_source=extension&utm_medium=backend&utm_campaign=site_swatch_m2"">here</a>"
"`Stock Status` Condition","`Stock Status` Condition"
"If the item is Out of Stock show only 'Out of Stock' Label","If the item is Out of Stock show only 'Out of Stock' Label"
"
                        
                    ","
                        
                    "
"Choose Default Out of Stock Label","Choose Default Out of Stock Label"
"Amasty Product Label","Amasty Product Label"
"Indexed product/label association","Indexed product/label association"
"Indexed label/product association","Indexed label/product association"
"Add New Label","Add New Label"
Delete,Delete
"Delete labels","Delete labels"
"Are you sure you want to delete the selected labels?","Are you sure you want to delete the selected labels?"
Enable,Enable
Disable,Disable
"Label ID","Label ID"
"Product Page Label","Product Page Label"
"Product Page Label Position","Product Page Label Position"
"Category Page Label","Category Page Label"
"Category Page Label Position","Category Page Label Position"
