No,No
Default,Default
Name,Name
"Disabled stock status","Disabled stock status"
"Quantity threshold","Quantity threshold"
Always,Always
"By Click","By Click"
Folding,Folding
Fly-out,Fly-out
Instantly,Instantly
"By Button Click","By Button Click"
"Visible Everywhere","Visible Everywhere"
"Only in Selected Categories","Only in Selected Categories"
"Hide in Selected Categories","Hide in Selected Categories"
"Improved Layered Navigation","Improved Layered Navigation"
Thumbnail,Thumbnail
"Please remove ""%1"" folder manually.","Please remove ""%1"" folder manually."
Edit,Edit
Delete,Delete
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
"Are you sure you wan't to delete a ""${ $.$data.name }"" record?","Are you sure you wan't to delete a ""${ $.$data.name }"" record?"
Loading...,Loading...
Settings,Settings
"Use Default Value","Use Default Value"
Selected,Selected
"Select options for this attribute group","Select options for this attribute group"
"Sort Option","Sort Option"
"Choose a color","Choose a color"
"Upload a file","Upload a file"
Clear,Clear
Remove,Remove
item,item
items,items
"Select Option ...","Select Option ..."
"Now Shopping by","Now Shopping by"
Previous,Previous
"Remove This Item","Remove This Item"
From,From
To,To
"Apply filter","Apply filter"
Go,Go
"Show <span class='hide_count'> </span> More","Show <span class='hide_count'> </span> More"
Less,Less
Search,Search
"Apply Filters","Apply Filters"
Show,Show
"Please enter a valid price range.","Please enter a valid price range."
Items,Items
Item,Item
Information,Information
General,General
"Enable Ajax","Enable Ajax"
"Scroll to top after AJAX load","Scroll to top after AJAX load"
"Add Vertical Scrolling to Filter Block After","Add Vertical Scrolling to Filter Block After"
"Set maximum box height in px, to disable enter 0","Set maximum box height in px, to disable enter 0"
"Submit Filters on Desktop","Submit Filters on Desktop"
"Submit Filters on Mobile","Submit Filters on Mobile"
"Leave the Single-choice Filter Visible after Selection","Leave the Single-choice Filter Visible after Selection"
"If 'Yes' it will also display the radio buttons near the options. Choose 'No' to hide the filter once value is selected as well as radio buttons.","If 'Yes' it will also display the radio buttons near the options. Choose 'No' to hide the filter once value is selected as well as radio buttons."
"Number of Unfolded Options in State","Number of Unfolded Options in State"
"Category Title and Description","Category Title and Description"
"Please open Stores -> Attributes -> Product -> [open attribute] -> Properties ->
[open attribute option settings] in order to define Title, Description, Image and CMS block for your filter options.","Please open Stores -> Attributes -> Product -> [open attribute] -> Properties ->
[open attribute option settings] in order to define Title, Description, Image and CMS block for your filter options."
"Add the title & description of the selected filters","Add the title & description of the selected filters"
"The title & description of the applied filters will be added to the category and brand pages","The title & description of the applied filters will be added to the category and brand pages"
"Add Filter Title","Add Filter Title"
"Separate Category Name & Title with","Separate Category Name & Title with"
"Add Filter Description","Add Filter Description"
"Replace Category Image","Replace Category Image"
"Category Image will be replaced if filter option have custom image uploaded.","Category Image will be replaced if filter option have custom image uploaded."
"Replace Category CMS Block","Replace Category CMS Block"
"Category CMS Block will be replaced if filter option have custom CMS Block defined","Category CMS Block will be replaced if filter option have custom CMS Block defined"
"Children Categories Block","Children Categories Block"
"Category's Thumbnail Image Size","Category's Thumbnail Image Size"
"Show Image Labels","Show Image Labels"
"Enable Slider","Enable Slider"
"Items per Slide","Items per Slide"
"Category Meta Tags","Category Meta Tags"
"Please open Stores -> Attributes -> Product -> [open attribute] -> Properties ->
[open attribute option settings] in order to define Meta-Title, Meta-Description and Meta-Keywords for your filter options.","Please open Stores -> Attributes -> Product -> [open attribute] -> Properties ->
[open attribute option settings] in order to define Meta-Title, Meta-Description and Meta-Keywords for your filter options."
"Add the Meta-data of the selected filters","Add the Meta-data of the selected filters"
"The Meta-data of the applied filters will be added to the category and brand pages","The Meta-data of the applied filters will be added to the category and brand pages"
"Add Filter Title to Meta-Title","Add Filter Title to Meta-Title"
"Title Tag Separator","Title Tag Separator"
"Description Tag Separator","Description Tag Separator"
"Add Filter Title to Meta-Keywords","Add Filter Title to Meta-Keywords"
"Category Filter","Category Filter"
"Stock Filter","Stock Filter"
