QuantityBreak,CatalogPrice,StandardNetPrice,DiscountCode,AddColorPrice,AddColorDiscountCode,AddColorNetPrice,Quantities_Id,Price_Id,CurrencyCode,AsLowAsCatalog,AsLowAsNet,Prices_Id,DecorationMethod_Id,PrintMethod,Select an Option Below,PriceMethod,PricingKey,DecorationMethods_Id,Product_Id,ItemNumber,BrandName,AdditionalCharges_Id,AdditionalChargeItemDescription,AdditionalChargeCatalogPrice,AdditionalChargeDiscountCode,AdditionalChargeNetPrice,SetupChargeCatalogPrice,NetSetupCharge,NetRepeatSetupCharge,MaxNumSpotColors,MaximumColorsAllowed
50,14.69,8.814,C,,,,162,162,USD,12.99,7.794,81,81,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,12,12,BG162,The Bag Factory,81,Additional Stitches,0.35,G,0.28,50,40,20,4,9
100,13.89,8.334,C,,,,162,162,USD,12.99,7.794,81,81,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,12,12,BG162,The Bag Factory,81,Additional Stitches,0.35,G,0.28,50,40,20,4,9
250,12.99,7.794,C,,,,162,162,USD,12.99,7.794,81,81,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,12,12,BG162,The Bag Factory,81,Additional Stitches,0.35,G,0.28,50,40,20,4,9
1,12.99,7.8,C,,,,164,164,USD,0,7.8,82,82,Random Sample,Order Sample,"Embroidery, up to 8000 Stitches",RS,12,12,BG162,The Bag Factory,82,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,15.99,9.594,C,0.5,G,0.4,166,166,USD,12.79,7.674,83,83,See Price Method,Place Order With Logo,1 Color 1 Location,TP,13,13,BG163,The Bag Factory,83,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
50,14.79,8.874,C,0.5,G,0.4,166,166,USD,12.79,7.674,83,83,See Price Method,Place Order With Logo,1 Color 1 Location,TP,13,13,BG163,The Bag Factory,83,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
100,13.79,8.274,C,0.5,G,0.4,166,166,USD,12.79,7.674,83,83,See Price Method,Place Order With Logo,1 Color 1 Location,TP,13,13,BG163,The Bag Factory,83,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
250,12.79,7.674,C,0.5,G,0.4,166,166,USD,12.79,7.674,83,83,See Price Method,Place Order With Logo,1 Color 1 Location,TP,13,13,BG163,The Bag Factory,83,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
1,12.79,7.68,C,,,,168,168,USD,0,7.68,84,84,Random Sample,Order Sample,1 Color 1 Location,RS,13,13,BG163,The Bag Factory,84,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,17.49,10.494,C,,,,170,170,USD,14.29,8.574,85,85,See Price Method,Place Order With Logo,4 Color Process,T4,13,13,BG163,The Bag Factory,85,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
50,16.29,9.774,C,,,,170,170,USD,14.29,8.574,85,85,See Price Method,Place Order With Logo,4 Color Process,T4,13,13,BG163,The Bag Factory,85,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
100,15.29,9.174,C,,,,170,170,USD,14.29,8.574,85,85,See Price Method,Place Order With Logo,4 Color Process,T4,13,13,BG163,The Bag Factory,85,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
250,14.29,8.574,C,,,,170,170,USD,14.29,8.574,85,85,See Price Method,Place Order With Logo,4 Color Process,T4,13,13,BG163,The Bag Factory,85,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
1,14.29,8.58,C,,,,172,172,USD,0,8.58,86,86,Random Sample,Order Sample,4 Color Process,RS,13,13,BG163,The Bag Factory,86,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,12.79,7.674,C,,,,174,174,USD,12.79,7.674,87,87,See Price Method,Order Without Logo,Blank,BL,13,13,BG163,The Bag Factory,87,Drop Shipment Charge,8.5,G,6.8,,,,0,
50,12.79,7.674,C,,,,174,174,USD,12.79,7.674,87,87,See Price Method,Order Without Logo,Blank,BL,13,13,BG163,The Bag Factory,87,Drop Shipment Charge,8.5,G,6.8,,,,0,
100,12.79,7.674,C,,,,174,174,USD,12.79,7.674,87,87,See Price Method,Order Without Logo,Blank,BL,13,13,BG163,The Bag Factory,87,Drop Shipment Charge,8.5,G,6.8,,,,0,
250,12.79,7.674,C,,,,174,174,USD,12.79,7.674,87,87,See Price Method,Order Without Logo,Blank,BL,13,13,BG163,The Bag Factory,87,Drop Shipment Charge,8.5,G,6.8,,,,0,
25,17.99,10.794,C,,,,176,176,USD,14.79,8.874,88,88,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,13,13,BG163,The Bag Factory,88,Additional Stitches,0.35,G,0.28,50,40,20,4,9
50,16.79,10.074,C,,,,176,176,USD,14.79,8.874,88,88,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,13,13,BG163,The Bag Factory,88,Additional Stitches,0.35,G,0.28,50,40,20,4,9
100,15.79,9.474,C,,,,176,176,USD,14.79,8.874,88,88,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,13,13,BG163,The Bag Factory,88,Additional Stitches,0.35,G,0.28,50,40,20,4,9
250,14.79,8.874,C,,,,176,176,USD,14.79,8.874,88,88,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,13,13,BG163,The Bag Factory,88,Additional Stitches,0.35,G,0.28,50,40,20,4,9
1,14.79,8.88,C,,,,178,178,USD,0,8.88,89,89,Random Sample,Order Sample,"Embroidery, up to 8000 Stitches",RS,13,13,BG163,The Bag Factory,89,Drop Shipment Charge,8.5,G,6.8,,,,0,0
6,94.99,56.994,C,,,,180,180,USD,75.69,45.414,90,90,See Price Method,Place Order With Logo,Debossed,DB,14,14,BG176,The Bag Factory,90,Drop Shipment Charge,8.5,G,6.8,75,60,20,0,0
12,87.29,52.374,C,,,,180,180,USD,75.69,45.414,90,90,See Price Method,Place Order With Logo,Debossed,DB,14,14,BG176,The Bag Factory,90,Drop Shipment Charge,8.5,G,6.8,75,60,20,0,0
25,81.69,49.014,C,,,,180,180,USD,75.69,45.414,90,90,See Price Method,Place Order With Logo,Debossed,DB,14,14,BG176,The Bag Factory,90,Drop Shipment Charge,8.5,G,6.8,75,60,20,0,0
50,75.69,45.414,C,,,,180,180,USD,75.69,45.414,90,90,See Price Method,Place Order With Logo,Debossed,DB,14,14,BG176,The Bag Factory,90,Drop Shipment Charge,8.5,G,6.8,75,60,20,0,0
6,93.49,56.094,C,0.5,G,0.4,182,182,USD,74.19,44.514,91,91,See Price Method,Place Order With Logo,1 Color 1 Location,TP,14,14,BG176,The Bag Factory,91,PMS Color Match,30,G,24,50,40,0,3,5
12,85.79,51.474,C,0.5,G,0.4,182,182,USD,74.19,44.514,91,91,See Price Method,Place Order With Logo,1 Color 1 Location,TP,14,14,BG176,The Bag Factory,91,PMS Color Match,30,G,24,50,40,0,3,5
25,80.19,48.114,C,0.5,G,0.4,182,182,USD,74.19,44.514,91,91,See Price Method,Place Order With Logo,1 Color 1 Location,TP,14,14,BG176,The Bag Factory,91,PMS Color Match,30,G,24,50,40,0,3,5
50,74.19,44.514,C,0.5,G,0.4,182,182,USD,74.19,44.514,91,91,See Price Method,Place Order With Logo,1 Color 1 Location,TP,14,14,BG176,The Bag Factory,91,PMS Color Match,30,G,24,50,40,0,3,5
1,74.19,44.52,C,,,,184,184,USD,0,44.52,92,92,Random Sample,Order Sample,1 Color 1 Location,RS,14,14,BG176,The Bag Factory,92,Drop Shipment Charge,8.5,G,6.8,,,,0,0
6,75.69,45.414,C,,,,186,186,USD,75.69,45.414,93,93,See Price Method,Order Without Logo,Blank,BL,14,14,BG176,The Bag Factory,93,Drop Shipment Charge,8.5,G,6.8,,,,0,
12,75.69,45.414,C,,,,186,186,USD,75.69,45.414,93,93,See Price Method,Order Without Logo,Blank,BL,14,14,BG176,The Bag Factory,93,Drop Shipment Charge,8.5,G,6.8,,,,0,
25,75.69,45.414,C,,,,186,186,USD,75.69,45.414,93,93,See Price Method,Order Without Logo,Blank,BL,14,14,BG176,The Bag Factory,93,Drop Shipment Charge,8.5,G,6.8,,,,0,
50,75.69,45.414,C,,,,186,186,USD,75.69,45.414,93,93,See Price Method,Order Without Logo,Blank,BL,14,14,BG176,The Bag Factory,93,Drop Shipment Charge,8.5,G,6.8,,,,0,
1,75.69,45.42,C,,,,188,188,USD,0,45.42,94,94,Random Sample,Order Sample,Debossed,RS,14,14,BG176,The Bag Factory,94,Drop Shipment Charge,8.5,G,6.8,,,,0,0
6,90.19,54.114,C,,,,190,190,USD,75.69,45.414,95,95,See Price Method,Place Order With Logo,Laser,CG,14,14,BG176,The Bag Factory,95,Drop Shipment Charge,8.5,G,6.8,75,40,20,0,2
12,87.29,52.374,C,,,,190,190,USD,75.69,45.414,95,95,See Price Method,Place Order With Logo,Laser,CG,14,14,BG176,The Bag Factory,95,Drop Shipment Charge,8.5,G,6.8,75,40,20,0,2
25,81.69,49.014,C,,,,190,190,USD,75.69,45.414,95,95,See Price Method,Place Order With Logo,Laser,CG,14,14,BG176,The Bag Factory,95,Drop Shipment Charge,8.5,G,6.8,75,40,20,0,2
50,75.69,45.414,C,,,,190,190,USD,75.69,45.414,95,95,See Price Method,Place Order With Logo,Laser,CG,14,14,BG176,The Bag Factory,95,Drop Shipment Charge,8.5,G,6.8,75,40,20,0,2
1,75.69,45.42,C,,,,192,192,USD,0,45.42,96,96,Random Sample,Order Sample,Laser,RS,14,14,BG176,The Bag Factory,96,Drop Shipment Charge,8.5,G,6.8,,,,0,0
50,6.49,3.894,C,0.5,G,0.4,194,194,USD,5.19,3.114,97,97,See Price Method,Place Order With Logo,1 Color 1 Location,TP,15,15,BG200,The Bag Factory,97,PMS Color Match,30,G,24,50,40,20,3,5
100,5.99,3.594,C,0.5,G,0.4,194,194,USD,5.19,3.114,97,97,See Price Method,Place Order With Logo,1 Color 1 Location,TP,15,15,BG200,The Bag Factory,97,PMS Color Match,30,G,24,50,40,20,3,5
250,5.59,3.354,C,0.5,G,0.4,194,194,USD,5.19,3.114,97,97,See Price Method,Place Order With Logo,1 Color 1 Location,TP,15,15,BG200,The Bag Factory,97,PMS Color Match,30,G,24,50,40,20,3,5
500,5.19,3.114,C,0.5,G,0.4,194,194,USD,5.19,3.114,97,97,See Price Method,Place Order With Logo,1 Color 1 Location,TP,15,15,BG200,The Bag Factory,97,PMS Color Match,30,G,24,50,40,20,3,5
1,5.19,3.12,C,,,,196,196,USD,0,3.12,98,98,Random Sample,Order Sample,1 Color 1 Location,RS,15,15,BG200,The Bag Factory,98,Drop Shipment Charge,8.5,G,6.8,,,,0,0
50,5.19,3.114,C,,,,198,198,USD,5.19,3.114,99,99,See Price Method,Order Without Logo,Blank,BL,15,15,BG200,The Bag Factory,99,Drop Shipment Charge,8.5,G,6.8,,,,0,
100,5.19,3.114,C,,,,198,198,USD,5.19,3.114,99,99,See Price Method,Order Without Logo,Blank,BL,15,15,BG200,The Bag Factory,99,Drop Shipment Charge,8.5,G,6.8,,,,0,
250,5.19,3.114,C,,,,198,198,USD,5.19,3.114,99,99,See Price Method,Order Without Logo,Blank,BL,15,15,BG200,The Bag Factory,99,Drop Shipment Charge,8.5,G,6.8,,,,0,
500,5.19,3.114,C,,,,198,198,USD,5.19,3.114,99,99,See Price Method,Order Without Logo,Blank,BL,15,15,BG200,The Bag Factory,99,Drop Shipment Charge,8.5,G,6.8,,,,0,
25,23.99,14.394,C,0.5,G,0.4,200,200,USD,18.99,11.394,100,100,See Price Method,Place Order With Logo,1 Color 1 Location,TP,16,16,BG214,The Bag Factory,100,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
50,21.99,13.194,C,0.5,G,0.4,200,200,USD,18.99,11.394,100,100,See Price Method,Place Order With Logo,1 Color 1 Location,TP,16,16,BG214,The Bag Factory,100,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
100,20.49,12.294,C,0.5,G,0.4,200,200,USD,18.99,11.394,100,100,See Price Method,Place Order With Logo,1 Color 1 Location,TP,16,16,BG214,The Bag Factory,100,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
250,18.99,11.394,C,0.5,G,0.4,200,200,USD,18.99,11.394,100,100,See Price Method,Place Order With Logo,1 Color 1 Location,TP,16,16,BG214,The Bag Factory,100,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
1,18.99,11.4,C,,,,202,202,USD,0,11.4,101,101,Random Sample,Order Sample,1 Color 1 Location,RS,16,16,BG214,The Bag Factory,101,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,25.49,15.294,C,,,,204,204,USD,20.49,12.294,102,102,See Price Method,Place Order With Logo,4 Color Process,TF,16,16,BG214,The Bag Factory,102,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
50,23.49,14.094,C,,,,204,204,USD,20.49,12.294,102,102,See Price Method,Place Order With Logo,4 Color Process,TF,16,16,BG214,The Bag Factory,102,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
100,21.99,13.194,C,,,,204,204,USD,20.49,12.294,102,102,See Price Method,Place Order With Logo,4 Color Process,TF,16,16,BG214,The Bag Factory,102,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
250,20.49,12.294,C,,,,204,204,USD,20.49,12.294,102,102,See Price Method,Place Order With Logo,4 Color Process,TF,16,16,BG214,The Bag Factory,102,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
1,20.49,12.3,C,,,,206,206,USD,0,12.3,103,103,Random Sample,Order Sample,4 Color Process,RS,16,16,BG214,The Bag Factory,103,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,25.99,15.594,C,,,,208,208,USD,20.99,12.594,104,104,See Price Method,Place Order With Logo,4 Color Process Dome,DM,16,16,BG214,The Bag Factory,104,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
50,23.99,14.394,C,,,,208,208,USD,20.99,12.594,104,104,See Price Method,Place Order With Logo,4 Color Process Dome,DM,16,16,BG214,The Bag Factory,104,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
100,22.49,13.494,C,,,,208,208,USD,20.99,12.594,104,104,See Price Method,Place Order With Logo,4 Color Process Dome,DM,16,16,BG214,The Bag Factory,104,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
250,20.99,12.594,C,,,,208,208,USD,20.99,12.594,104,104,See Price Method,Place Order With Logo,4 Color Process Dome,DM,16,16,BG214,The Bag Factory,104,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
1,20.99,12.6,C,,,,210,210,USD,0,12.6,105,105,Random Sample,Order Sample,4 Color Process Dome,RS,16,16,BG214,The Bag Factory,105,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,18.99,11.394,C,,,,212,212,USD,18.99,11.394,106,106,See Price Method,Order Without Logo,Blank,BL,16,16,BG214,The Bag Factory,106,Drop Shipment Charge,8.5,G,6.8,,,,0,
50,18.99,11.394,C,,,,212,212,USD,18.99,11.394,106,106,See Price Method,Order Without Logo,Blank,BL,16,16,BG214,The Bag Factory,106,Drop Shipment Charge,8.5,G,6.8,,,,0,
100,18.99,11.394,C,,,,212,212,USD,18.99,11.394,106,106,See Price Method,Order Without Logo,Blank,BL,16,16,BG214,The Bag Factory,106,Drop Shipment Charge,8.5,G,6.8,,,,0,
250,18.99,11.394,C,,,,212,212,USD,18.99,11.394,106,106,See Price Method,Order Without Logo,Blank,BL,16,16,BG214,The Bag Factory,106,Drop Shipment Charge,8.5,G,6.8,,,,0,
25,25.99,15.594,C,,,,214,214,USD,20.99,12.594,107,107,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,16,16,BG214,The Bag Factory,107,Additional Stitches,0.35,G,0.28,50,40,20,4,9
50,23.99,14.394,C,,,,214,214,USD,20.99,12.594,107,107,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,16,16,BG214,The Bag Factory,107,Additional Stitches,0.35,G,0.28,50,40,20,4,9
100,22.49,13.494,C,,,,214,214,USD,20.99,12.594,107,107,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,16,16,BG214,The Bag Factory,107,Additional Stitches,0.35,G,0.28,50,40,20,4,9
250,20.99,12.594,C,,,,214,214,USD,20.99,12.594,107,107,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,16,16,BG214,The Bag Factory,107,Additional Stitches,0.35,G,0.28,50,40,20,4,9
1,20.99,12.6,C,,,,216,216,USD,0,12.6,108,108,Random Sample,Order Sample,"Embroidery, up to 8000 Stitches",RS,16,16,BG214,The Bag Factory,108,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,24.19,14.514,C,0.5,G,0.4,218,218,USD,19.99,11.994,109,109,See Price Method,Place Order With Logo,1 Color 1 Location,TP,17,17,BG223,The Bag Factory,109,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
50,22.69,13.614,C,0.5,G,0.4,218,218,USD,19.99,11.994,109,109,See Price Method,Place Order With Logo,1 Color 1 Location,TP,17,17,BG223,The Bag Factory,109,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
100,21.29,12.774,C,0.5,G,0.4,218,218,USD,19.99,11.994,109,109,See Price Method,Place Order With Logo,1 Color 1 Location,TP,17,17,BG223,The Bag Factory,109,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
250,19.99,11.994,C,0.5,G,0.4,218,218,USD,19.99,11.994,109,109,See Price Method,Place Order With Logo,1 Color 1 Location,TP,17,17,BG223,The Bag Factory,109,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
1,19.99,12,C,,,,220,220,USD,0,12,110,110,Random Sample,Order Sample,1 Color 1 Location,RS,17,17,BG223,The Bag Factory,110,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,25.69,15.414,C,,,,222,222,USD,21.49,12.894,111,111,See Price Method,Place Order With Logo,4 Color Process,TF,17,17,BG223,The Bag Factory,111,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
50,24.19,14.514,C,,,,222,222,USD,21.49,12.894,111,111,See Price Method,Place Order With Logo,4 Color Process,TF,17,17,BG223,The Bag Factory,111,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
100,22.79,13.674,C,,,,222,222,USD,21.49,12.894,111,111,See Price Method,Place Order With Logo,4 Color Process,TF,17,17,BG223,The Bag Factory,111,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
250,21.49,12.894,C,,,,222,222,USD,21.49,12.894,111,111,See Price Method,Place Order With Logo,4 Color Process,TF,17,17,BG223,The Bag Factory,111,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
1,21.49,12.9,C,,,,224,224,USD,0,12.9,112,112,Random Sample,Order Sample,4 Color Process,RS,17,17,BG223,The Bag Factory,112,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,26.19,15.714,C,,,,226,226,USD,21.99,13.194,113,113,See Price Method,Place Order With Logo,4 Color Process Dome,DM,17,17,BG223,The Bag Factory,113,Drop Shipment Charge,8.5,G,6.8,50,40,40,0,0
50,24.69,14.814,C,,,,226,226,USD,21.99,13.194,113,113,See Price Method,Place Order With Logo,4 Color Process Dome,DM,17,17,BG223,The Bag Factory,113,Drop Shipment Charge,8.5,G,6.8,50,40,40,0,0
100,23.29,13.974,C,,,,226,226,USD,21.99,13.194,113,113,See Price Method,Place Order With Logo,4 Color Process Dome,DM,17,17,BG223,The Bag Factory,113,Drop Shipment Charge,8.5,G,6.8,50,40,40,0,0
250,21.99,13.194,C,,,,226,226,USD,21.99,13.194,113,113,See Price Method,Place Order With Logo,4 Color Process Dome,DM,17,17,BG223,The Bag Factory,113,Drop Shipment Charge,8.5,G,6.8,50,40,40,0,0
1,21.99,13.2,C,,,,228,228,USD,0,13.2,114,114,Random Sample,Order Sample,4 Color Process Dome,RS,17,17,BG223,The Bag Factory,114,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,19.99,11.994,C,,,,230,230,USD,19.99,11.994,115,115,See Price Method,Order Without Logo,Blank,BL,17,17,BG223,The Bag Factory,115,Drop Shipment Charge,8.5,G,6.8,,,,0,
50,19.99,11.994,C,,,,230,230,USD,19.99,11.994,115,115,See Price Method,Order Without Logo,Blank,BL,17,17,BG223,The Bag Factory,115,Drop Shipment Charge,8.5,G,6.8,,,,0,
100,19.99,11.994,C,,,,230,230,USD,19.99,11.994,115,115,See Price Method,Order Without Logo,Blank,BL,17,17,BG223,The Bag Factory,115,Drop Shipment Charge,8.5,G,6.8,,,,0,
250,19.99,11.994,C,,,,230,230,USD,19.99,11.994,115,115,See Price Method,Order Without Logo,Blank,BL,17,17,BG223,The Bag Factory,115,Drop Shipment Charge,8.5,G,6.8,,,,0,
25,18.89,11.334,C,0.5,G,0.4,232,232,USD,14.99,8.994,116,116,See Price Method,Place Order With Logo,1 Color 1 Location,TP,18,18,BG225,The Bag Factory,116,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
50,17.29,10.374,C,0.5,G,0.4,232,232,USD,14.99,8.994,116,116,See Price Method,Place Order With Logo,1 Color 1 Location,TP,18,18,BG225,The Bag Factory,116,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
100,16.19,9.714,C,0.5,G,0.4,232,232,USD,14.99,8.994,116,116,See Price Method,Place Order With Logo,1 Color 1 Location,TP,18,18,BG225,The Bag Factory,116,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
250,14.99,8.994,C,0.5,G,0.4,232,232,USD,14.99,8.994,116,116,See Price Method,Place Order With Logo,1 Color 1 Location,TP,18,18,BG225,The Bag Factory,116,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
1,14.99,9,C,,,,234,234,USD,0,9,117,117,Random Sample,Order Sample,1 Color 1 Location,RS,18,18,BG225,The Bag Factory,117,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,20.89,12.534,C,,,,236,236,USD,16.99,10.194,118,118,See Price Method,Place Order With Logo,4 Color Process Dome,DM,18,18,BG225,The Bag Factory,118,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
50,19.29,11.574,C,,,,236,236,USD,16.99,10.194,118,118,See Price Method,Place Order With Logo,4 Color Process Dome,DM,18,18,BG225,The Bag Factory,118,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
100,18.19,10.914,C,,,,236,236,USD,16.99,10.194,118,118,See Price Method,Place Order With Logo,4 Color Process Dome,DM,18,18,BG225,The Bag Factory,118,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
250,16.99,10.194,C,,,,236,236,USD,16.99,10.194,118,118,See Price Method,Place Order With Logo,4 Color Process Dome,DM,18,18,BG225,The Bag Factory,118,Drop Shipment Charge,8.5,G,6.8,50,40,20,0,0
1,16.99,10.2,C,,,,238,238,USD,0,10.2,119,119,Random Sample,Order Sample,4 Color Process Dome,RS,18,18,BG225,The Bag Factory,119,Drop Shipment Charge,8.5,G,6.8,,,,0,0
25,14.99,8.994,C,,,,240,240,USD,14.99,8.994,120,120,See Price Method,Order Without Logo,Blank,BL,18,18,BG225,The Bag Factory,120,Drop Shipment Charge,8.5,G,6.8,,,,0,
50,14.99,8.994,C,,,,240,240,USD,14.99,8.994,120,120,See Price Method,Order Without Logo,Blank,BL,18,18,BG225,The Bag Factory,120,Drop Shipment Charge,8.5,G,6.8,,,,0,
100,14.99,8.994,C,,,,240,240,USD,14.99,8.994,120,120,See Price Method,Order Without Logo,Blank,BL,18,18,BG225,The Bag Factory,120,Drop Shipment Charge,8.5,G,6.8,,,,0,
250,14.99,8.994,C,,,,240,240,USD,14.99,8.994,120,120,See Price Method,Order Without Logo,Blank,BL,18,18,BG225,The Bag Factory,120,Drop Shipment Charge,8.5,G,6.8,,,,0,
25,20.89,12.534,C,,,,242,242,USD,16.99,10.194,121,121,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,18,18,BG225,The Bag Factory,121,Additional Stitches,0.35,G,0.28,50,40,20,4,9
50,19.29,11.574,C,,,,242,242,USD,16.99,10.194,121,121,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,18,18,BG225,The Bag Factory,121,Additional Stitches,0.35,G,0.28,50,40,20,4,9
100,18.19,10.914,C,,,,242,242,USD,16.99,10.194,121,121,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,18,18,BG225,The Bag Factory,121,Additional Stitches,0.35,G,0.28,50,40,20,4,9
250,16.99,10.194,C,,,,242,242,USD,16.99,10.194,121,121,"Embroidered - Up to 8,000 Stitches",Place Order With Logo,"Embroidery, up to 8000 Stitches",EM,18,18,BG225,The Bag Factory,121,Additional Stitches,0.35,G,0.28,50,40,20,4,9
1,16.99,10.2,C,,,,244,244,USD,0,10.2,122,122,Random Sample,Order Sample,"Embroidery, up to 8000 Stitches",RS,18,18,BG225,The Bag Factory,122,Drop Shipment Charge,8.5,G,6.8,,,,0,0
12,39.99,23.994,C,0.5,G,0.4,246,246,USD,31.79,19.074,123,123,See Price Method,Place Order With Logo,1 Color 1 Location,TP,19,19,BG226,The Bag Factory,123,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
25,36.79,22.074,C,0.5,G,0.4,246,246,USD,31.79,19.074,123,123,See Price Method,Place Order With Logo,1 Color 1 Location,TP,19,19,BG226,The Bag Factory,123,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
50,34.39,20.634,C,0.5,G,0.4,246,246,USD,31.79,19.074,123,123,See Price Method,Place Order With Logo,1 Color 1 Location,TP,19,19,BG226,The Bag Factory,123,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
100,31.79,19.074,C,0.5,G,0.4,246,246,USD,31.79,19.074,123,123,See Price Method,Place Order With Logo,1 Color 1 Location,TP,19,19,BG226,The Bag Factory,123,Drop Shipment Charge,8.5,G,6.8,50,40,20,3,5
1,31.79,19.08,C,,,,248,248,USD,0,19.08,124,124,Random Sample,Order Sample,1 Color 1 Location,RS,19,19,BG226,The Bag Factory,124,Drop Shipment Charge,8.5,G,6.8,,,,0,0
12,41.49,24.894,C,,,,250,250,USD,33.29,19.974,125,125,See Price Method,Place Order With Logo,4 Color Process,TF,19,19,BG226,The Bag Factory,125,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
25,38.29,22.974,C,,,,250,250,USD,33.29,19.974,125,125,See Price Method,Place Order With Logo,4 Color Process,TF,19,19,BG226,The Bag Factory,125,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
50,35.89,21.534,C,,,,250,250,USD,33.29,19.974,125,125,See Price Method,Place Order With Logo,4 Color Process,TF,19,19,BG226,The Bag Factory,125,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
100,33.29,19.974,C,,,,250,250,USD,33.29,19.974,125,125,See Price Method,Place Order With Logo,4 Color Process,TF,19,19,BG226,The Bag Factory,125,Drop Shipment Charge,8.5,G,6.8,75,60,60,0,0
1,33.29,19.98,C,,,,252,252,USD,0,19.98,126,126,Random Sample,Order Sample,4 Color Process,RS,19,19,BG226,The Bag Factory,126,Drop Shipment Charge,8.5,G,6.8,,,,0,0
12,41.99,25.194,C,,,,254,254,USD,33.79,20.274,127,127,See Price Method,Place Order With Logo,4 Color Process Dome,DM,19,19,BG226,The Bag Factory,127,Drop Shipment Charge,8.5,G,6.8,50,40,40,0,0
