"ItemNumber","ItemVariationNumber","ImprintLocationName"
"BG288","BG288BL","Front Pocket"
"BG288","BG288RD","Front Pocket"
"BG288","BG288BL","Front Pocket"
"BG288","BG288RD","Front Pocket"
"BG295","BG295BK","Front Pocket"
"BG295","BG295RY","Front Pocket"
"BG295","BG295BK","Front Pocket"
"BG295","BG295RY","Front Pocket"
"BG295","BG295BK","Front Pocket"
"BG295","BG295RY","Front Pocket"
"BG295","BG295BK","Front Pocket"
"BG295","BG295RY","Front Pocket"
"BG295","BG295BK","Front Pocket"
"BG295","BG295RY","Front Pocket"
"BG295","BG295BK","Front Pocket"
"BG295","BG295RY","Front Pocket"
"BG296","BG296BK","Front Pocket"
"BG296","BG296BK","Front Pocket"
"BG296","BG296BK","Front Pocket"
"BG296","BG296BK","Front Pocket"
"BG296","BG296BK","Front Pocket"
"BG296","BG296BK","Front Pocket"
"BG300","BG300RD","Front Pocket"
"BG300","BG300RY","Front Pocket"
"BG300","BG300BK","Front Pocket"
"BG300","BG300RD","Front Pocket"
"BG300","BG300RY","Front Pocket"
"BG300","BG300BK","Front Pocket"
"BG300","BG300RD","Front Pocket"
"BG300","BG300RY","Front Pocket"
"BG300","BG300BK","Front Pocket"
"BG300","BG300RD","Front Pocket"
"BG300","BG300RY","Front Pocket"
"BG300","BG300BK","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG301","BG301BKRD","Front Pocket"
"BG301","BG301BKRY","Front Pocket"
"BG301","BG301BKBK","Front Pocket"
"BG302","BG302RD","Default"
"BG302","BG302RY","Default"
"BG302","BG302BK","Top"
"BG302","BG302RD","Top"
"BG302","BG302RY","Top"
"BG302","BG302BK","Default"
"BG302","BG302RD","Default"
"BG302","BG302RY","Default"
"BG302","BG302BK","Top"
"BG302","BG302RD","Top"
"BG302","BG302RY","Top"
"BG302","BG302BK","Default"
"BG302","BG302RD","Default"
"BG302","BG302RY","Default"
"BG302","BG302BK","Top"
"BG302","BG302RD","Top"
"BG302","BG302RY","Top"
"BG302","BG302BK","Default"
"BG305","BG305RY","Top Flap"
"BG305","BG305RY","Default"
"BG305","BG305RY","Top Flap"
"BG305","BG305RY","Default"
"BG305","BG305RY","Top Flap"
"BG305","BG305RY","Default"
