"ItemNumber","BrandName","PriceMethod","PricingKey","AdditionalChargeItemDescriptin","AdditionalChargeCatalogPrice","AdditionalChargeNetPrice","AdditionalChargeDiscountCode","dropshipchg","handlingfee3rdparty","less_than_minimum_qty","dropshipnetchg","handlingfee3rdpartynetchg","less_than_minimum_qty_netchg","additional_stitches_catalog_price_em","digitizing_fee_catalog_price_em","personalization_catalog_price_em","swatchproof_catalog_price_em","additional_stitches_net_price_em","digitizing_fee_net_price_em","personalization_net_price_em","swatchproof_net_price_em","setupchargecatalogprice_tp","setupchargecatalogprice_t4","setupchargecatalogprice_em","setupchargecatalogprice_db","setupchargecatalogprice_dm","setupchargecatalogprice_cg","netsetupcharge_tp","netsetupcharge_t4","netsetupcharge_em","netsetupcharge_dm","netsetupcharge_cg","netsetupcharge_db","setupchargedescription_tp","setupchargedescription_t4","setupchargedescription_em","setupchargedescription_dm","setupchargedescription_cg","minimumorderquantity_tp","minimumorderquantity_t4","minimumorderquantity_em","minimumorderquantity_cg","minimumorderquantity_rs","minimumorderquantity_bl","minimumorderquantity_dm","minimumorderquantity_db"
"1070","Perfect Line","1 Color 1 Location","P3","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","1 Color 1 Location","P3","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Copy Change","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Repeat Setup","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1070","Perfect Line","4 Color Process","P6","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","1 Color 1 Location","P3","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","1 Color 1 Location","P3","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","1 Color 1 Location","P3","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","1 Color 1 Location","P3","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","1 Color 1 Location","P3","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","1 Color 1 Location","P3","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","4 Color Process","P6","Copy Change","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","4 Color Process","P6","Repeat Setup","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","4 Color Process","P6","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","4 Color Process","P6","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"1080","Perfect Line","4 Color Process","P6","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109H","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109H","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109H","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109H","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109H","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109H","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109V","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109V","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109V","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109V","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109V","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"109V","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117H","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117H","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117H","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117H","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117H","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117H","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117HT","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117HT","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117HT","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117HT","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117HT","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117HT","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JH","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JH","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JH","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JH","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JH","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JH","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JHT","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JHT","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JHT","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JHT","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JHT","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JHT","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JV","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JV","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JV","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JV","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JV","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JV","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JVT","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JVT","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JVT","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JVT","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JVT","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117JVT","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117V","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117V","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117V","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117V","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117V","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117V","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117VT","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117VT","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117VT","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117VT","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117VT","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"117VT","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","4 Color Process","P7","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","4 Color Process","P7","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","4 Color Process","P7","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","4 Color Process","P7","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","4 Color Process","P7","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Debossed","PD","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Debossed","PD","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Debossed","PD","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Debossed","PD","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Debossed","PD","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Hot Stamp","P8","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Hot Stamp","P8","Copy Change","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Hot Stamp","P8","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Hot Stamp","P8","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Hot Stamp","P8","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118","Perfect Line","Hot Stamp","P8","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","4 Color Process","P7","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","4 Color Process","P7","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","4 Color Process","P7","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","4 Color Process","P7","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","4 Color Process","P7","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Debossed","PD","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Debossed","PD","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Debossed","PD","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Debossed","PD","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Debossed","PD","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Hot Stamp","P8","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Hot Stamp","P8","Copy Change","75","60","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Hot Stamp","P8","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Hot Stamp","P8","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Hot Stamp","P8","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"118T","Perfect Line","Hot Stamp","P8","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120NA","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120NA","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120NA","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120NA","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120NA","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"120NA","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121NA","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121NA","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121NA","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121NA","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121NA","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"121NA","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"125","Perfect Line","1 Color 1 Location","P2","Handling Fee- 3rd Party Shipping","12.5","10","G",,"12.5",,,"10",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126","Perfect Line","1 Color 1 Location","P2","PMS Color Match","30","24","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126","Perfect Line","1 Color 1 Location","P2","Copy Change","50","40","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126","Perfect Line","1 Color 1 Location","P2","Repeat Setup","25","20","G",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126","Perfect Line","1 Color 1 Location","P2","Less than Minimum Qty Chg","50","40","G",,,"50",,,"40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"126","Perfect Line","1 Color 1 Location","P2","Drop Shipment Charge","8.5","6.8","G","8.5",,,"6.8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
