Required,Required
Reupload,Reupload
Rows,Rows
SKU,SKU
Save and Continue Edit,Save and Continue Edit
Section Label,Section Label
SecurImage,SecurImage
Select Box,Select Box
Select,Select
Selected templates have been deleted,Selected templates have been deleted
Selected,Selected
Size,Size
Sku,Sku
Sku/Product Id,Sku/Product Id
Some of the products are out of stock.,Some of the products are out of stock.
Some selected templates have not been deleted,Some selected templates have not been deleted
Static Text,Static Text
Swatch,Swatch
Table-based with sections,Table-based with sections
Table-based,Table-based
Template %s has been deleted,Template %s has been deleted
Template %s has been loaded,Template %s has been loaded
Template %s has been updated,Template %s has been updated
Template Name,Template Name
Template has been deleted,Template has been deleted
Template has been saved,Template has been saved
Template has not been created,Template has not been created
Template has not been deleted,Template has not been deleted
Template has not been loaded,Template has not been loaded
Template has not been saved,Template has not been saved
Template has not been updated,Template has not been updated
Template name is required,Template name is required
Template not found,Template not found
Template,Template
Textarea,Textarea
The product has required options.,The product has required options.
This Field Type required options,This Field Type required options
This name will be used for saving field value in database.,This name will be used for saving field value in database.
This product is out of stock.,This product is out of stock.
Tier,Tier
Time,Time
Title,Title
Update Cart,Update Cart
Update,Update
Upload Image,Upload Image
Use Default,Use Default
Validation,Validation
Visibility,Visibility
Visible,Visible
Weight,Weight
Yes,Yes
Zip Code,Zip Code
contains,contains
default option,default option
does not contain,does not contain
equals or greater than,equals or greater than
equals or less than,equals or less than
greater than,greater than
is not one of,is not one of
is not,is not
is one of,is one of
is,is
leave blank if it is not an image,leave blank if it is not an image
leave blank if its not an image,leave blank if its not an image
less than,less than
maximum: 35,maximum: 35
out of stock,out of stock
remove,remove
select,select
unlimited,unlimited
Ñopy Configuration From,Ñopy Configuration From
